URL,Title,year,Release date,Genres,Language,Country,Main image,Duration,Rating,Director,Stars,Short Description,Story line,Budget,Opening Weekend,Gross,Production Company,Runtime,SoundMix,Color,Aspect Ration,Official Sites,Also Known As,Filming Location,Writers,TagLines,Plot Keywords
http://www.imdb.com/title/tt0172495/,Gladiator,2000,1 September 2000,"Action, Adventure, Drama",English,"USA, UK","http://ia.media-imdb.com/images/M/MV5BMjE3ODQ0MzQ5NV5BMl5BanBnXkFtZTcwNjgwMDAzMQ@@._V1._SY317_CR12,0,214,317_.jpg",155 min,8.5,Ridley Scott,"Russell Crowe, Joaquin Phoenix","When a Roman general is betrayed and his family murdered by an emperor's corrupt son, he comes to Rome as a gladiator to seek revenge.","Maximus is a powerful Roman general, loved by the people and the aging Emperor, Marcus Aurelius. Before his death, the Emperor chooses Maximus to be his heir over his own son, Commodus, and a power struggle leaves Maximus and his family condemned to death. The powerful general is unable to save his family, and his loss of will allows him to get captured and put into the Gladiator games until he dies. The only desire that fuels him now is the chance to rise to the top so that he will be able to look into the eyes of the man who will feel his revenge.,","$103,000,000(estimated)","$34,819,017(USA)(7 May 2000)(2938 Screens)","$457,640,427(Worldwide)(28 February 2012)","DreamWorks SKG, Universal Pictures, Scott Free Productions","155 min, 171 min","SDDS, DTS, Dolby Digital",Color,2.35 : 1,UIP [Japan],Gladiador,"Ait Benhaddou, Ouarzazate, Morocco",David FranzoniDavid Franzoniand 2 more credits,What We Do In Life Echoes In Eternity.,"Emperor , Gladiator , General , Death , Revenge , See more"
http://www.imdb.com/title/tt0120903/,X-Men,2000,6 October 2000,"Action, Adventure, Sci-Fi",English,USA,"http://ia.media-imdb.com/images/M/MV5BMTYxMTEzNTgzM15BMl5BanBnXkFtZTcwMjg1MzAwMQ@@._V1._SY317_CR11,0,214,317_.jpg",104 min,7.4,Bryan Singer,"Patrick Stewart, Hugh Jackman",Two mutants come to a private academy for their kind whose resident superhero team must oppose a terrorist organization with similar powers.,"In a world where both Mutants and Humans fear each other, Marie D'Ancanto, better known as Rogue, runs away from home and hitches a ride with another mutant, known as Logan, a.k.a. Wolverine. Charles Xavier, who owns a school for young mutants, sends Storm and Cyclops to bring them back before it is too late. Magneto, who believes a war is approaching, has an evil plan in mind, and needs young Rogue to help him.,","$75,000,000(estimated)","$54,471,475(USA)(16 July 2000)(3025 Screens)","$157,299,717(USA)(19 November 2000)","Twentieth Century Fox Film Corporation, Marvel Enterprises, Donners' Company",104 min,"DTS, Dolby Digital EX, SDDS",Color,2.35 : 1,Marvel [United States],X-Men 1.5,"Ajax, Ontario, Canada",Tom DeSantoBryan Singerand 1 more credit,Evolution Begins.,"Mutant , X Men , Wolverine , Professor , Train , See more"
http://www.imdb.com/title/tt0181875/,Almost Famous,2000,2 March 2001,"Biography, Drama, Music",English,USA,"http://ia.media-imdb.com/images/M/MV5BMTI0MDc0MzIyM15BMl5BanBnXkFtZTYwMzc4NzA5._V1._SY317_CR2,0,214,317_.jpg",122 min,7.9,Cameron Crowe,"Billy Crudup, Frances McDormand",A high-school boy is given the chance to write a story for Rolling Stone Magazine about an up-and-coming rock band as he accompanies it on their concert tour.,"William Miller is a 15 year old kid, hired by Rolling Stone magazine to tour with, and write about Stillwater, an up and coming rock band. This wonderfully witty coming of age film follows William as he falls face first to confront life, love, and lingo.,","$60,000,000(estimated)","$2,314,646(USA)(17 September 2000)(131 Screens)","$47,383,689(Worldwide)","Columbia Pictures, DreamWorks SKG, Vinyl Films","122 min, 162 min, 152 min","DTS, Dolby Digital, SDDS",Color,1.85 : 1,Vinyl Films,Untitled: Almost Famous the Bootleg Cut,"1047 Maple St, Santa Monica, California, USA",,Experience it. Enjoy it. Just don't fall for it.,"Tour , Band , Magazine , Rolling Stone Magazine , Rock Band , See more"
http://www.imdb.com/title/tt0204946/,Bring It On,2000,25 August 2000,"Comedy, Sport",English,USA,"http://ia.media-imdb.com/images/M/MV5BMTIxMTg3ODA1NF5BMl5BanBnXkFtZTcwMTkzMDEyMQ@@._V1._SY317_CR2,0,214,317_.jpg",98 min,5.8,Peyton Reed,"Kirsten Dunst, Eliza Dushku",A champion high school cheerleading squad discovers its previous captain stole all their best routines from an inner-city school and must scramble to compete at this year's championships.,"The Toro cheerleading squad from Rancho Carne High School in San Diego has got spirit, spunk, sass and a killer routine that's sure to land them the national championship trophy for the sixth year in a row. But for newly-elected team captain Torrance, the Toros' road to total cheer glory takes a shady turn when she discovers that their perfectly-choreographed routines were in fact stolen from the Clovers, a hip-hop squad from East Compton, by the Toro's former captain. While the Toros scramble to come up with a new routine, the Clovers, led by squad captain Isis have their own problems - coming up with enough money to cover their travel expenses to the championships. With time running out and the pressure mounting, both captains drive their squads to the point of exhaustion: Torrance, hell bent on saving the Toros' reputation, and Isis more determined than ever to see that the Clovers finally get the recognition that they deserve...,","$10,000,000(estimated)","$17,362,105(USA)(27 August 2000)(2380 Screens)","$90,449,929(Worldwide)(2001)",Beacon Communications,98 min,"DTS, Dolby Digital, SDDS",Color,1.85 : 1,"Metropolitan Filmexport [France] (French), Universal [United States]",A por todas (Bring It On),"Oceanside, California, USA",,"Hate 'em because they're beautiful? Well, they don't like you either.","Championship , High School , Cheerleading , Punk , Bra And Panties , See more"
http://www.imdb.com/title/tt0177971/,The Perfect Storm,2000,17 November 2000,"Action, Adventure, Drama, Thriller",English,USA,http://ia.media-imdb.com/images/M/MV5BNzIwMTc0NTI0Nl5BMl5BanBnXkFtZTcwNTk4Mzc3Mw@@._V1._SY317_.jpg,130 min,6.3,Wolfgang Petersen,"George Clooney, Mark Wahlberg",An unusually intense storm pattern catches some commercial fishermen unaware and puts them in mortal danger.,"In October 1991, a confluence of weather conditions combined to form a killer storm in the North Atlantic. Caught in the storm was the sword-fishing boat Andrea Gail. Magnificent foreshadowing and anticipation fill this true-life drama while minute details of the fishing boats, their gear and the weather are juxtaposed with the sea adventure.,","$140,000,000(estimated)","$41,325,042(USA)(2 July 2000)(3407 Screens)","$327,000,000(Worldwide)","Warner Bros. Pictures, Baltimore Spring Creek Productions, Radiant Productions",130 min,"Dolby Digital EX, SDDS, DTS",Color,2.35 : 1,Warner Bros.,Una tormenta perfecta,"Dana Point, California, USA",Sebastian JungerWilliam D. Wittliff,"There's only love Christina, only love.","Storm , Fishing , Jamaican , Ice , Fish , See more"
http://www.imdb.com/title/tt0187393/,The Patriot,2000,11 August 2000,"Action, Drama, War",English,"Germany, USA",http://ia.media-imdb.com/images/M/MV5BMTkzMjE4ODU0MV5BMl5BanBnXkFtZTYwNTI2OTk2._V1._SY317_.jpg,165 min,6.9,Roland Emmerich,"Mel Gibson, Heath Ledger",Peaceful farmer Benjamin Martin is driven to lead the Colonial Militia during the American Revolution when a sadistic British officer murders his son.,"It is 1776 in colonial South Carolina. Benjamin Martin, a French-Indian war hero who is haunted by his past, now wants nothing more then to live peacefully on his small plantation, and wants no part of a war with the most powerful nation in the world, Great Britain. Meanwhile, his two eldest sons, Gabriel and Thomas, can't wait to enlist in the newly formed ""Continental Army."" When South Carolina decides to join the rebellion against England, Gabriel immediately signs up to fight...without his father's permission. But when Colonel William Tavington, British dragoon, infamous for his brutal tactics, comes and burns the Martin Plantation to the ground, tragedy strikes. Benjamin quickly finds himself torn between protecting his family, and seeking revenge along with being a part of the birth of new, young, and ambitious nation.,","$110,000,000(estimated)","$22,413,710(USA)(2 July 2000)(3061 Screens)","$113,330,342(USA)(15 October 2000)","Columbia Pictures Corporation, Centropolis Entertainment, Mutual Film Company","165 min, 175 min","DTS, Dolby Digital, SDDS",Color,2.35 : 1,,Der Patriot,"Botany Bay Plantation - 7510 Botany Bay Road, Edisto Island, South Carolina, USA",,Some things are worth fighting for.,"British , French , South Carolina , Revolution , American Revolution , See more"
http://www.imdb.com/title/tt0195714/,Final Destination,2000,22 September 2000,Horror,"English, French","USA, Canada","http://ia.media-imdb.com/images/M/MV5BMjE5MTEwODEyN15BMl5BanBnXkFtZTYwMDgxNjU5._V1._SY317_CR2,0,214,317_.jpg",98 min,6.7,James Wong,"Devon Sawa, Ali Larter","After a teenager has a terrifying vision of him and his friends dying in a plane crash, he prevents the accident only to have Death hunt them down, one by one.","Alex is boarding his plane to France on a school trip, when he suddenly gets a premonition that the plane will explode. When Alex and a group of students are thrown off the plane, to their horror, the plane does in fact explode. Alex must now work out Death's plan, as each of the surviving students falls victim. Whilst preventing the worst from happening, Alex must also dodge the FBI, which believes Alex caused the explosion.,","$23,000,000(estimated)","$10,015,822(USA)(19 March 2000)(2587 Screens)","$53,302,314(USA)(13 August 2000)","New Line Cinema, Zide-Perry Productions, Hard Eight Pictures",98 min,"DTS, Dolby Digital, SDDS",Color,1.85 : 1,New Line Cinema [United States],Destination ultime,"Squamish, British Columbia, Canada",Glen MorganJames Wongand 2 more credits,Face Your Deepest Fears... Before They Face You.,"Death , Premonition , High School Student , Teen , Explosion , See more"
http://www.imdb.com/title/tt0217869/,Unbreakable,2000,12 January 2001,"Drama, Mystery, Sci-Fi, Thriller",English,USA,http://ia.media-imdb.com/images/M/MV5BMTQ5MzkyMjk2Nl5BMl5BanBnXkFtZTYwOTAxOTE3._V1._SY317_.jpg,106 min,7.2,M. Night Shyamalan,"Bruce Willis, Samuel L. Jackson",A suspense thriller with supernatural overtones that revolves around a man who learns something extraordinary about himself after a devastating accident.,"This suspense thriller unfolds as the audience is introduced to David Dunn. Not only is he the sole survivor of a horrific train-crash that killed 131 people he doesn't have a scratch on him. Elijah Price is an obscure character who approaches Dunn with a seemingly far fetched theory behind it all.,","$75,000,000(estimated)","$30,330,771(USA)(26 November 2000)(2708 Screens)","$249,511,339(Worldwide)","Touchstone Pictures, Blinding Edge Pictures, Barry Mendel Productions",106 min,"Dolby Digital EX, SDDS, DTS-ES",Color,2.35 : 1,,El protegido,"Franklin Field - 235 S. 33rd Street, University of Pennsylvania, Philadelphia, Pennsylvania, USA",,Shattering cinemas soon.,"Survivor , Comic Book , Train , Sole Survivor , Train Crash , See more"
http://www.imdb.com/title/tt0215129/,Road Trip,2000,19 May 2000,"Adventure, Comedy",English,USA,"http://ia.media-imdb.com/images/M/MV5BMTQxMTA3OTg3OV5BMl5BanBnXkFtZTcwNTk0MzUyMQ@@._V1._SY317_CR2,0,214,317_.jpg",93 min,6.4,Todd Phillips,"Breckin Meyer, Seann William Scott",Four friends take off on an 1800 mile road trip to retrieve an illicit tape mistakenly mailed to a girl friend.,"Josh and Tiffany have been together since they were kids. ENTER Beth, a sexy blonde going to college with Josh. One night, Josh and Beth hook up and make a videotape the same day that Josh plans to mail a video to Tiffany of him talking about college life. The wrong tape gets sent, forcing Josh, along with a few pals, to go to Austin, where Tiffany is, and stop her from seeing the tape. Full of laughs, you'll be sure to enjoy Road Trip.,","$15,600,000(estimated)","$15,484,004(USA)(21 May 2000)(2530 Screens)","$68,525,609(USA)(3 September 2000)","DreamWorks SKG, Montecito Picture Company, The","93 min, 94 min","DTS, Dolby Digital, SDDS",Color,1.85 : 1,,Caindo na Estrada,"Athens, Georgia, USA",Todd PhillipsScot Armstrong,The greatest college tradition of all time.,"Road Trip , Friend , College , Blonde , Sexism , See more"
http://www.imdb.com/title/tt0181865/,Traffic,2000,5 January 2001,"Crime, Drama, Thriller","English, Spanish","Germany, USA","http://ia.media-imdb.com/images/M/MV5BMjA2MjA1MTA0OF5BMl5BanBnXkFtZTcwNTA5MTIzMQ@@._V1._SY317_CR5,0,214,317_.jpg",147 min,7.7,Steven Soderbergh,"Michael Douglas, Benicio Del Toro","A conservative judge is appointed by the President to spearhead America's escalating war against drugs, only to discover that his teenage daughter is an addict.","A modern day look at America's war on drugs told through four separate stories that are connected in one way or another. A conservative judge who's just been appointed as the US drug czar learns that his teenage honor student daughter is a drug addict. A beautiful trophy wife struggles to save her wealthy husband's drug business, while two DEA agents protect a witness with inside knowledge of the spouse's business. In Mexico, a slightly corrupt, yet dedicated cop struggles with his conscience when he learns that his new boss may not be the anti-drug official he made himself out to be.,","$48,000,000(estimated)","$184,725(USA)(27 December 2000)(4 Screens)","$207,515,725(Worldwide)","Bedford Falls Productions, Compulsion Inc., Initial Entertainment Group (IEG)",147 min,"DTS, Dolby Digital, SDDS",Color,1.85 : 1,,Traffic - Die Macht des Kartells,"A-1 Self Storage, 1190-B W. Morena Boulevard, San Diego, California, USA",Simon MooreStephen Gaghan,No One Gets Away Clean,"Drugs , Judge , Teenage Daughter , Cocaine , Mexico , See more"
